id,name,campus,area,avg_price,open_hours,tastes,scenes,tags,latitude,longitude,image_urls
47,汉江里炸鸡,清水河,龙湖,40,,"[""炸鸡"",""香辣""]","[""同学聚餐"",""夜宵""]","[""炸鸡"",""威士忌脆脆鸡"",""年糕香肠卷"",""龙湖时代天街""]",,,[]
48,八度烤云南菜,清水河,龙湖,42,,"[""云南菜"",""香辣""]","[""同学聚餐"",""晚餐""]","[""云南菜"",""鸡脚筋"",""土豆泥"",""龙湖时代天街""]",,,[]
49,攀枝花盐边米线,清水河,龙湖,20,,"[""粉面"",""鲜香""]","[""一个人"",""赶时间""]","[""米线"",""双哨羊肉米线"",""龙湖时代天街""]",,,[]
50,何记美蛙鱼,清水河,龙湖,65,,"[""麻辣"",""重口""]","[""同学聚餐"",""晚餐""]","[""美蛙鱼"",""鱼蛙混吃自助"",""龙湖时代天街""]",,,[]
51,升钟鱼,清水河,龙湖,60,,"[""麻辣"",""重口""]","[""同学聚餐"",""晚餐""]","[""鱼"",""美蛙肥肠鱼自助"",""龙湖时代天街""]",,,[]
52,拾间拾好巷口串串,清水河,龙湖,45,,"[""麻辣"",""重口""]","[""同学聚餐"",""夜宵""]","[""串串"",""火锅粉"",""蛋炒饭"",""龙湖时代天街""]",,,[]
53,钰善里,清水河,龙湖,32,,"[""东北"",""家常""]","[""一个人"",""同学聚餐""]","[""锅包肉"",""炸酱面"",""龙湖时代天街""]",,,[]
54,不止鲜,清水河,龙湖,32,,"[""东北"",""家常""]","[""一个人"",""同学聚餐""]","[""锅包肉"",""炸蘑菇"",""卤肉饭"",""龙湖时代天街""]",,,[]
55,尹三顺,清水河,龙湖,38,,"[""泰式"",""咖喱""]","[""一个人"",""约会""]","[""鸡蛋布蕾"",""泰式咖喱牛肉"",""龙湖时代天街""]",,,[]
56,昊来了,清水河,龙湖,45,,"[""鲜香"",""重口""]","[""同学聚餐"",""晚餐""]","[""脑花一口饭"",""鹅肝"",""龙湖时代天街""]",,,[]
57,派克鸡排,清水河,龙湖,18,,"[""炸鸡"",""香辣""]","[""一个人"",""赶时间"",""夜宵""]","[""鸡排"",""脆皮去骨鸡腿排"",""龙湖时代天街""]",,,[]
58,围满停车场烧烤,清水河,龙湖,50,,"[""烧烤"",""香辣""]","[""同学聚餐"",""夜宵""]","[""烧烤"",""芥菜春饺"",""沙葱牛肉"",""龙湖时代天街""]",,,[]
59,螺一螺螺蛳粉,清水河,龙湖,20,,"[""酸辣"",""重口""]","[""一个人"",""夜宵""]","[""螺蛳粉"",""鸭掌螺蛳粉"",""龙湖时代天街""]",,,[]
60,李记河南烩面,清水河,龙湖,22,,"[""面食"",""家常""]","[""一个人"",""赶时间""]","[""烩面"",""生椒牛肉"",""大盘鸡"",""龙湖时代天街""]",,,[]
61,滨寿司,清水河,龙湖,45,,"[""日料"",""鲜香""]","[""一个人"",""约会""]","[""寿司"",""鳗鱼系列"",""龙湖时代天街""]",,,[]
62,黄师傅拌面,清水河,南门,20,,"[""面食"",""香辣""]","[""一个人"",""赶时间""]","[""拌面"",""小炒牛肉拌面"",""南门""]",,,[]
63,啃小小瓦香鸡,清水河,龙湖,25,,"[""中辣"",""香辣""]","[""一个人"",""午餐"",""晚餐""]","[""瓦香鸡"",""方便面"",""龙湖时代天街""]",,,[]
64,学子餐厅档口,清水河,校内,16,,"[""麻辣"",""家常"",""酸辣""]","[""一个人"",""赶时间"",""午餐""]","[""学子餐厅"",""麻辣烫"",""酸汤肥牛"",""笋干肉拌面"",""家园串串""]",,,[]
65,桃园餐厅档口,清水河,校内,20,,"[""家常"",""肉食""]","[""一个人"",""午餐"",""晚餐""]","[""桃园餐厅"",""猪蹄"",""求白月光回归""]",,,[]
66,西北餐厅档口,清水河,校内,18,,"[""西北"",""面食""]","[""一个人"",""赶时间""]","[""西北餐厅"",""孜然牛肉拌面"",""大盘鸡拌饼""]",,,[]
67,朝阳餐厅档口,清水河,校内,17,,"[""家常"",""重口""]","[""一个人"",""午餐"",""晚餐""]","[""朝阳餐厅"",""渣渣肉拌饭"",""煲仔饭"",""老麻抄手"",""可乐鸡饭"",""土耳其烤肉饭"",""三昧饭""]",,,[]
68,银桦食堂档口,清水河,校内,18,,"[""家常"",""麻辣""]","[""一个人"",""午餐"",""晚餐""]","[""银桦食堂"",""滑蛋饭"",""冒烤鸭"",""土豆泥炸酱拌面"",""鱼香藕饼"",""厨之味"",""麻辣蛙"",""烧鸭饭""]",,,[]
69,思源食堂档口,清水河,校内,18,,"[""家常"",""烧烤""]","[""一个人"",""午餐"",""晚餐""]","[""思源食堂"",""铁板烧"",""鸡汤馄饨"",""跷脚牛肉""]",,,[]
70,科创食堂档口,清水河,校内,17,,"[""粉面"",""家常"",""麻辣""]","[""一个人"",""赶时间"",""午餐""]","[""科创食堂"",""花溪牛肉米粉"",""猪脚饭"",""重庆小面"",""小炒全肯定"",""麻辣烫"",""番茄牛腩饭""]",,,[]
71,芙蓉餐厅档口,清水河,校内,16,,"[""家常"",""面食""]","[""一个人"",""午餐"",""晚餐""]","[""芙蓉餐厅"",""三楼冒菜"",""担担面""]",,,[]
72,商业街档口,清水河,商业街,25,,"[""家常"",""面食""]","[""一个人"",""午餐"",""晚餐""]","[""商业街"",""巷口老卤猪脚饭"",""酥肉蛋汤饭"",""麦当劳"",""JOJO小铺""]",,,[]
73,小黑酱,清水河,配送,24,,"[""甜品"",""奶酪""]","[""一个人"",""下午茶""]","[""配送到校"",""血糯米玫瑰奶酪芋泥"",""开心果奶酪"",""红豆沙"",""土豆泥辣卤鸡腿""]",,,[]
74,芋见,清水河,配送,28,,"[""咖喱"",""香辣"",""甜品""]","[""一个人"",""午餐"",""晚餐""]","[""配送到校"",""东北饭包"",""麻辣火锅鸡"",""咖喱碎牛肉饭"",""可乐土豆泥卤肉饭"",""椰香咖喱鸡腿饭"",""抹茶奶酪"",""黑芝麻奶酪"",""火鸡面厚蛋烧""]",,,[]
75,塔普料理,清水河,配送,26,,"[""家常"",""肉食""]","[""一个人"",""午餐"",""晚餐""]","[""配送到校"",""北非蛋"",""猪肉打抛饭""]",,,[]
